sub,intervention,valence,arousal,willingness,change,stay_home,mean_behavior
1,threat,-219,233,100,51,100,80
1,prosocial,52,203,67,66,100,80
2,threat,-217,223,100,0,75,86.6
2,prosocial,179,221,100,49,75,86.6
3,threat,-163,-13,71,31,69,85.4
3,prosocial,-153,-240,59,1,69,85.4
4,threat,-206,193,92,48,86,86.2
4,prosocial,213,201,96,70,86,86.2
5,threat,-225,235,80,20,90,78
5,prosocial,172,225,100,30,90,78
6,threat,-63,-89,70,70,70,83
6,prosocial,112,98,60,60,70,83
7,threat,-205,80,92,81,95,93.8
7,prosocial,-108,-64,91,31,95,93.8
8,threat,-122,68,70,81,86,93.8
8,prosocial,76,-52,80,80,86,93.8
9,threat,0,207,100,0,95,98
9,prosocial,223,6,100,0,95,98
10,threat,-235,217,88,92,81,89.2
10,prosocial,203,147,83,79,81,89.2
11,threat,-244,244,100,0,100,100
11,prosocial,4,2,100,0,100,100
12,threat,-157,157,73,37,39,57.6
12,prosocial,175,75,64,33,39,57.6
13,threat,-74,166,82,60,79,80.4
13,prosocial,61,114,88,59,79,80.4
14,threat,-221,195,100,70,90,98
14,prosocial,199,208,100,90,90,98
15,threat,-238,240,82,63,85,89.4
15,prosocial,141,136,96,90,85,89.4
16,threat,-197,117,100,0,100,100
16,prosocial,189,91,100,0,100,100
17,threat,-209,-226,90,15,76,66
17,prosocial,163,99,78,59,76,66
18,threat,-94,198,100,0,100,98.6
18,prosocial,208,170,100,0,100,98.6
19,threat,-181,31,90,10,90,89.8
19,prosocial,13,137,90,86,90,89.8
20,threat,0,0,100,0,100,100
20,prosocial,200,89,100,100,100,100
21,threat,-164,180,97,51,97,92.8
21,prosocial,94,-4,100,51,97,92.8
22,threat,-246,189,100,82,100,100
22,prosocial,132,51,100,40,100,100
23,threat,-218,1,81,91,72,92.8
23,prosocial,223,-1,82,81,72,92.8
24,threat,-134,147,80,60,80,90
24,prosocial,5,38,80,51,80,90
25,threat,-224,85,100,0,95,89
25,prosocial,111,229,100,0,95,89
26,threat,-224,173,98,93,100,99.4
26,prosocial,178,55,98,100,100,99.4
27,threat,142,-1,90,10,90,94
27,prosocial,210,40,90,0,90,94
28,threat,-8,50,94,1,86,95.6
28,prosocial,123,-97,94,50,86,95.6
29,threat,-232,200,100,100,92,82
29,prosocial,214,151,83,87,92,82
30,threat,-230,193,100,0,75,92
30,prosocial,222,-131,100,0,75,92
31,threat,-249,247,100,100,100,100
31,prosocial,250,117,100,100,100,100
32,threat,-214,211,96,0,81,75
32,prosocial,85,83,88,0,81,75
33,threat,234,233,100,0,95,99
33,prosocial,249,248,100,0,95,99
34,threat,-245,-245,100,100,100,99.4
34,prosocial,57,51,100,12,100,99.4
35,threat,-164,-159,100,43,84,79.8
35,prosocial,3,5,60,58,84,79.8
36,threat,-199,214,91,20,79,85.8
36,prosocial,160,193,91,32,79,85.8
37,threat,-197,107,83,83,85,89
37,prosocial,197,111,73,74,85,89
38,threat,-119,-113,100,0,100,100
38,prosocial,51,146,100,0,100,100
39,threat,-199,190,84,93,95,98.4
39,prosocial,-29,-158,60,48,95,98.4
40,threat,-119,75,100,27,100,86.2
40,prosocial,72,76,100,16,100,86.2
41,threat,-246,176,100,10,45,82
41,prosocial,60,187,100,30,45,82
42,threat,-52,190,99,76,100,98.2
42,prosocial,111,92,100,92,100,98.2
43,threat,-243,-243,70,95,71,71.8
43,prosocial,239,3,75,39,71,71.8
44,threat,-239,-22,100,14,74,94.6
44,prosocial,168,214,100,0,74,94.6
45,threat,-93,-43,95,60,90,92
45,prosocial,45,148,100,70,90,92
46,threat,-172,79,100,51,100,100
46,prosocial,108,-1,100,49,100,100
47,threat,-210,214,100,10,90,96.2
47,prosocial,225,139,100,20,90,96.2
48,threat,-235,242,90,87,91,97
48,prosocial,165,232,100,100,91,97
49,threat,-219,220,80,0,80,84
49,prosocial,34,206,85,0,80,84
50,threat,-190,200,100,0,90,94.8
50,prosocial,163,125,100,0,90,94.8
51,threat,-38,-2,100,100,100,95.2
51,prosocial,245,245,100,12,100,95.2
52,threat,-232,-238,100,0,90,94.6
52,prosocial,238,1,100,100,90,94.6
53,threat,0,-1,100,0,100,100
53,prosocial,188,138,100,0,100,100
55,threat,-234,240,100,0,100,100
55,prosocial,224,-1,100,0,100,100
56,threat,-179,201,100,0,100,100
56,prosocial,33,145,99,0,100,100
57,threat,-147,208,100,0,80,94.6
57,prosocial,182,88,100,0,80,94.6
58,threat,-216,223,91,100,87,97.4
58,prosocial,131,109,87,78,87,97.4
59,threat,-119,-248,100,1,91,82.8
59,prosocial,181,45,100,0,91,82.8
60,threat,-246,245,100,0,90,95.8
60,prosocial,248,156,100,30,90,95.8
61,threat,-224,-1,100,0,100,90
61,prosocial,230,232,100,100,100,90
62,threat,-193,221,80,80,95,95.2
62,prosocial,176,77,80,80,95,95.2
63,threat,-82,56,72,15,36,63.8
63,prosocial,182,27,89,70,36,63.8
64,threat,-142,216,70,76,61,66.6
64,prosocial,144,180,67,66,61,66.6
65,threat,-106,201,100,85,80,94.4
65,prosocial,194,90,65,30,80,94.4
66,threat,-43,226,100,0,100,99.8
66,prosocial,215,212,100,0,100,99.8
67,threat,-182,24,81,17,92,94.2
67,prosocial,234,83,100,51,92,94.2
68,threat,-242,-2,49,51,53,63.8
68,prosocial,119,5,47,44,53,63.8
69,threat,-175,155,100,20,100,95.8
69,prosocial,5,92,100,0,100,95.8
70,threat,-208,188,100,0,95,96.8
70,prosocial,192,196,100,0,95,96.8
71,threat,-185,166,100,0,85,74
71,prosocial,132,-1,100,0,85,74
72,threat,-249,248,100,0,100,92.2
72,prosocial,62,219,100,0,100,92.2
73,threat,-138,18,100,0,100,100
73,prosocial,23,-18,100,0,100,100
74,threat,-214,244,90,51,96,92.8
74,prosocial,1,0,100,0,96,92.8
75,threat,-238,241,100,0,100,100
75,prosocial,237,35,100,0,100,100
76,threat,-235,231,72,99,63,79.8
76,prosocial,19,-26,72,87,63,79.8
77,threat,-223,226,99,1,86,96.8
77,prosocial,136,94,99,2,86,96.8
78,threat,-177,208,100,100,80,91
78,prosocial,142,148,100,100,80,91
79,threat,-190,139,83,73,73,81
79,prosocial,144,-9,93,67,73,81
80,threat,-232,230,100,1,91,97.2
80,prosocial,242,226,100,58,91,97.2
81,threat,-216,223,100,54,95,92.8
81,prosocial,229,153,100,45,95,92.8
82,threat,-173,136,100,0,95,93.2
82,prosocial,125,175,100,0,95,93.2
83,threat,-220,-2,81,21,61,83
83,prosocial,181,1,85,15,61,83
84,threat,-246,242,100,0,90,90.6
84,prosocial,192,88,100,0,90,90.6
85,threat,-96,99,100,0,100,80.8
85,prosocial,149,150,100,0,100,80.8
86,threat,-243,243,100,0,100,100
86,prosocial,65,204,100,0,100,100
87,threat,-187,175,100,0,90,94.2
87,prosocial,207,145,100,0,90,94.2
88,threat,-235,179,100,0,90,85
88,prosocial,213,203,100,0,90,85
89,threat,-217,148,100,70,90,96
89,prosocial,157,-1,100,80,90,96
90,threat,-223,121,98,0,98,95.6
90,prosocial,115,19,100,0,98,95.6
91,threat,-128,144,90,27,100,92.6
91,prosocial,50,62,86,24,100,92.6
92,threat,-184,162,100,100,89,91.4
92,prosocial,199,177,98,98,89,91.4
93,threat,-177,166,100,23,100,90.2
93,prosocial,78,-106,100,13,100,90.2
94,threat,-125,181,89,18,21,60
94,prosocial,129,158,16,87,21,60
95,threat,-241,241,100,0,98,99.2
95,prosocial,243,183,100,0,98,99.2
96,threat,-133,112,80,11,87,94.6
96,prosocial,139,27,86,9,87,94.6
97,threat,-101,93,90,0,87,95.2
97,prosocial,14,-1,100,0,87,95.2
98,threat,-220,150,90,10,90,97
98,prosocial,161,181,95,5,90,97
99,threat,-155,147,100,0,88,95.2
99,prosocial,32,175,100,0,88,95.2
100,threat,2,-2,51,53,65,50.8
100,prosocial,0,-1,47,53,65,50.8
101,threat,-215,218,100,0,100,100
101,prosocial,-2,-1,100,0,100,100
102,threat,-206,179,100,100,98,99.2
102,prosocial,171,174,100,100,98,99.2
103,threat,-33,-36,49,48,79,73.6
103,prosocial,-31,-39,51,49,79,73.6
104,threat,-170,202,96,1,89,93.4
104,prosocial,167,188,95,4,89,93.4
105,threat,-221,2,91,100,100,100
105,prosocial,1,173,80,67,100,100
106,threat,-187,152,100,0,91,96.2
106,prosocial,208,-95,100,0,91,96.2
107,threat,-237,226,100,100,100,80
107,prosocial,158,181,100,100,100,80
108,threat,-175,116,91,9,89,94.4
108,prosocial,164,-144,80,6,89,94.4
109,threat,-75,41,87,27,95,87.2
109,prosocial,148,28,90,43,95,87.2
110,threat,7,7,92,3,71,90.6
110,prosocial,194,0,90,45,71,90.6
111,threat,-231,207,100,0,92,96.4
111,prosocial,-1,-9,100,0,92,96.4
113,threat,-226,232,100,81,50,69.6
113,prosocial,65,163,100,20,50,69.6
114,threat,-145,88,64,0,69,69.8
114,prosocial,194,78,60,6,69,69.8
115,threat,-233,241,100,50,100,100
115,prosocial,132,132,100,50,100,100
116,threat,-200,116,95,49,90,84.4
116,prosocial,98,61,100,22,90,84.4
117,threat,-115,184,95,51,94,96.4
117,prosocial,67,174,93,53,94,96.4
118,threat,-169,163,91,62,90,92.6
118,prosocial,129,28,99,72,90,92.6
119,threat,-228,213,100,0,93,97.8
119,prosocial,237,126,100,0,93,97.8
120,threat,-239,-242,100,0,91,96.8
120,prosocial,238,-67,100,20,91,96.8
121,threat,59,-2,100,0,96,99.2
121,prosocial,32,1,100,0,96,99.2
122,threat,-142,218,100,10,75,91
122,prosocial,94,129,100,15,75,91
123,threat,-223,214,100,100,100,100
123,prosocial,19,201,100,100,100,100
124,threat,-244,246,100,100,95,97.6
124,prosocial,246,240,100,60,95,97.6
125,threat,-171,96,95,0,91,92.6
125,prosocial,22,44,100,0,91,92.6
126,threat,-192,180,100,100,71,87.8
126,prosocial,132,78,100,81,71,87.8
127,threat,-101,-151,100,50,100,100
127,prosocial,131,191,100,50,100,100
128,threat,-79,63,95,60,95,88
128,prosocial,-31,-34,100,40,95,88
129,threat,-105,115,95,51,95,99
129,prosocial,249,162,91,72,95,99
130,threat,73,96,69,46,78,71.4
130,prosocial,126,175,85,82,78,71.4
131,threat,-84,209,100,0,94,98
131,prosocial,3,162,100,0,94,98
132,threat,-216,-231,100,0,100,100
132,prosocial,95,211,100,0,100,100
133,threat,-136,140,95,0,95,85
133,prosocial,217,70,95,0,95,85
134,threat,-152,187,100,0,80,88.2
134,prosocial,162,79,100,0,80,88.2
135,threat,-235,-23,89,4,90,90.2
135,prosocial,231,236,99,64,90,90.2
137,threat,-243,-239,100,0,100,100
137,prosocial,240,-4,100,0,100,100
138,threat,-116,115,84,60,77,81.2
138,prosocial,27,52,85,65,77,81.2
139,threat,-229,235,100,10,80,30.8
139,prosocial,242,138,100,70,80,30.8
140,threat,-225,164,93,95,88,90.2
140,prosocial,171,56,95,78,88,90.2
141,threat,-247,248,100,60,70,86
141,prosocial,129,1,100,70,70,86
142,threat,-195,203,100,0,95,99
142,prosocial,125,131,100,50,95,99
143,threat,-239,-247,80,50,80,80
143,prosocial,106,2,70,20,80,80
144,threat,-232,-234,0,90,1,48.6
144,prosocial,-8,-122,3,100,1,48.6
145,threat,61,-52,100,0,90,90
145,prosocial,157,-73,100,0,90,90
146,threat,-209,185,100,60,93,96.8
146,prosocial,119,72,100,61,93,96.8
147,threat,-247,245,100,0,97,99.4
147,prosocial,12,139,100,0,97,99.4
148,threat,-139,182,95,80,62,74.2
148,prosocial,203,148,99,88,62,74.2
149,threat,-219,47,100,0,82,95.6
149,prosocial,-2,2,99,1,82,95.6
150,threat,-126,82,100,0,90,94.2
150,prosocial,-24,-65,100,0,90,94.2
151,threat,-153,122,95,72,73,87.8
151,prosocial,154,175,89,81,73,87.8
152,threat,-199,219,100,0,60,92
152,prosocial,40,-1,100,0,60,92
153,threat,-4,-2,50,0,50,64
153,prosocial,-4,-3,50,0,50,64
154,threat,-245,-248,100,0,90,84
154,prosocial,250,2,100,0,90,84
155,threat,-229,234,95,60,85,90.2
155,prosocial,-53,176,95,35,85,90.2
156,threat,-136,188,91,70,91,74
156,prosocial,20,34,85,67,91,74
157,threat,-56,-76,71,79,75,79.4
157,prosocial,0,-19,60,55,75,79.4
158,threat,-108,140,100,0,100,100
158,prosocial,-31,145,100,0,100,100
159,threat,-239,240,80,50,80,84
159,prosocial,182,137,90,50,80,84
160,threat,-234,242,100,81,91,98.2
160,prosocial,237,241,100,0,91,98.2
161,threat,-220,228,100,3,100,100
161,prosocial,163,36,100,100,100,100
162,threat,-214,224,100,0,100,100
162,prosocial,241,237,100,0,100,100
163,threat,-180,-64,96,4,94,93.4
163,prosocial,145,56,96,11,94,93.4
164,threat,-1,0,80,20,81,95.2
164,prosocial,2,1,80,10,81,95.2
165,threat,-233,232,100,0,100,96.6
165,prosocial,157,64,100,0,100,96.6
166,threat,-219,120,100,0,91,88.2
166,prosocial,226,-42,100,0,91,88.2
167,threat,-246,247,91,79,74,84
167,prosocial,156,151,75,73,74,84
168,threat,-1,103,100,0,90,98
168,prosocial,233,111,100,0,90,98
169,threat,-244,224,100,0,90,98
169,prosocial,92,147,100,0,90,98
170,threat,-200,201,100,10,80,92.2
170,prosocial,121,115,100,11,80,92.2
171,threat,-241,236,100,51,100,100
171,prosocial,64,72,100,56,100,100
172,threat,-226,81,86,8,82,94.8
172,prosocial,156,-27,91,61,82,94.8
173,threat,-209,148,92,0,88,92
